Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment,Rating_Count
Buy Anouk Yellow Ethnic Motifs Embroidered Mandarin Collar Cotton Straight Kurta  - Kurtas for Men 31889985 | Myntra,4.2,₹1188,31 Jan 2025,5,Sayan,The best in looks. Just awesome.,19
Buy Anouk Yellow Ethnic Motifs Embroidered Mandarin Collar Cotton Straight Kurta  - Kurtas for Men 31889985 | Myntra,4.2,₹1188,6 Apr 2025,5,Ajay Maurya,Better than expected. ,19
Buy Anouk Yellow Ethnic Motifs Embroidered Mandarin Collar Cotton Straight Kurta  - Kurtas for Men 31889985 | Myntra,4.2,₹1188,10 Feb 2025,5,Vedant Shukla,Great product,19
Buy Anouk Yellow Ethnic Motifs Embroidered Mandarin Collar Cotton Straight Kurta  - Kurtas for Men 31889985 | Myntra,4.2,₹1188,14 Feb 2025,5,Sapna,Loved it,19
Buy Anouk Yellow Ethnic Motifs Embroidered Mandarin Collar Cotton Straight Kurta  - Kurtas for Men 31889985 | Myntra,4.2,₹1188,3 Apr 2025,5,Myntra Customer,Very nice ,19
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,25 Jan 2025,3,Myntra Customer,"Cloth is single layer but cotton is good and also design is good. Easy to go short kurti.

",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,2 Feb 2025,5,Oindrila Sengupta,Comfortable material ,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,31 Oct 2024,4,Roshni Kakad,"Giving it a 4 only because of the slight variation between the color in the image VS the actual product. It's more pink in the former. However, if the actual purple shade is not a deal breaker for you, definitely go for it, because it's certainly very comfortable and a very cute look. The crochet at the end of the sleeve enhances the look. Happy with the purchase overall.",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,14 Aug 2024,5,Jyothis Mathew,"There is a slight color difference.  I ordered a light pink kurta but in real it turned out to be purple. However,  I am keeping it as I loved the color. 
  It is comfortable to wear. 

Just order a size up. 
",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,21 July 2024,4,Myntra Customer,"Material is nice, it's good for Summers but color is bit different it's dark purple but it looks good ",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,5 July 2024,4,Rajul Agarwal,Fitting and colour is as shown in the picture... Quality is not very good but it's ok as per the price,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,3 Aug 2024,5,Darakhsha Naz,Just in luv with this kurti ,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,1 July 2024,5,Drishti Khurana,"I recently purchased this kurti for college and I'm absolutely delighted with it! The color is vibrant and exactly as shown in the pictures, the print is elegant yet modern, and the fit is just perfect. The fabric feels comfortable and breathable, which is ideal for long hours on campus. Overall, I couldn't be happier with my purchase. Highly recommend it for anyone looking for a stylish and comfortable outfit!",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,10 Sept 2024,5,Ananya Deb,Office / Daily wear comfortable Cotton kurta ,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,3 Aug 2024,4,Navya,"a little too loose , but my parents say it is meant to be like that . Just consider it to be a loose fit piece, nice for casual college wear",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,16 July 2024,5,Savita Suryawanshi,Just go for it. The colour is good and fits really well. Very comfortable breathable fabric and Looks so good!!!!!.🩷,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,25 Oct 2024,5,Deepali Mittal,The kurti is just perfect. The fabric is really soft and comfortable. ,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,26 July 2024,4,Akshara,"The quality is decent and looks good . 
The size I ordered turned out perfect 👌 ",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,8 June 2024,5,Vaani,"Nice piece… 
Got it in a reasonable price in EORS
The colour and feel of it gives great vibes. ",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,28 Oct 2024,4,Bansi Pandya,"It's a little loose, good for casual office wear. Colour isn't that great
",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,9 Oct 2024,5,Vyshnavi,"The product quality is consistently outstanding, exceeding my expectations every time",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,7 Oct 2024,5,Anu Shree,"Bahut hi sundar h highly recommend 👍
 Same colour, material is very soft ",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,19 Nov 2024,5,Sanskar Singh,"The product quality  was good as per the price 

Fully satisfied 😌 ",1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,9 Sept 2024,5,Hitika,I ordered this kurti and it turned out really good. The material is also good and fitting is perfect.,1700
Buy Anouk Ethnic Motifs Printed Pure Cotton Straight Short Kurti  - Kurtis for Women 27830414 | Myntra,4.3,₹560,10 Oct 2024,5,Prerna Pankush,The product is really awsm..looks amazing n same as the picture..has a gud n comfortable fabric ,1700
